Title,Authors,Year,Journal,DOI,Source
Guide to the expression of uncertainty in measurement — Part 1: Introduction,,2023,,10.59161/jcgmgum-1-2023,CrossRef
Evaluation without the linear approximation,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.011,CrossRef
The randomization of systematic errors,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.006,CrossRef
Geographical Measurement and Data,,2002,Uncertainty in Geographical Information,10.1201/b12624-5,CrossRef
Measurement of fluid flow: assessment of uncertainty in the calibration and use of flow measurement devices,,,,10.3403/00200484u,CrossRef
Model uncertainty and reference value of the Planck constant,G. Mana,2016,Measurement,10.1016/j.measurement.2016.07.056,CrossRef
Uncertainty Modelling,,2025,Risk Measurement and Monitoring,10.1108/978-1-83662-310-620251002,CrossRef
PR-015-09603-R01 LNG Measurement Uncertainty Analysis,"George, Hawley, Owston",2010,,10.55274/r0010699,CrossRef
Geometrical product specifications (GPS). Inspection by measurement of workpieces and measuring equipment,,,,10.3403/30198171,CrossRef
Geometrical product specifications (GPS). Inspection by measurement of workpieces and measuring equipment,,,,10.3403/30158866,CrossRef
Microbiology of the food chain - Estimation of measurement uncertainty for quantitative determinations,,,,10.3403/30351072u,CrossRef
Measurement Uncertainty in One-of-a-kind Experiments,Hanna Makaruk,2020,,10.2172/1648073,CrossRef
Model Sensitivity Evaluation and Dielectric Constant Measurement Uncertainty Reduction,", Romāns Kušņins",,,10.7250/9789934228896,CrossRef
Measurement Uncertainty,"Han Haitjema, Richard Leach",2025,Dimensional Metrology,10.1201/9780367821746-3,CrossRef
Algorithm 1: An approximate method for accounting for the uncertainty of measurement,,,,10.7717/peerj-cs.1373/table-2,CrossRef
Fuzzy Operators,,,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5_6,CrossRef
Uncertainty of measurement for non-destructive testing (NDT),M J Lodeiro,2022,,10.47120/npl.mat105,CrossRef
Measurement uncertainty of silicone fluid leakage testing for rolamites,W.E. Holland,1997,,10.2172/481587,CrossRef
Power quality measurement in power supply systems,,,,10.3403/30256018u,CrossRef
Diode-Laser Measurements of N2-Broadening Coefficients in the ν2 Band of HCN at Low Temperature,"C. Schmidt, J.C. Populaire, J. Walrand, G. Blanquet, J.P. Bouanich",1993,Journal of Molecular Spectroscopy,10.1006/jmsp.1993.1086,CrossRef
N2 and Ar broadening and line mixing in the P and R branches of the v3 band of CH4,A.S. Pine,1997,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/s0022-4073(96)00130-6,CrossRef
"Self-, N2-, and O2-broadening parameters in the ν3 and ν1 + ν3 bands of 12C16O2","M. Margottin-Maclou, P. Dahoo, A. Henry, A. Valentin, L. Henry",1988,Journal of Molecular Spectroscopy,10.1016/0022-2852(88)90102-6,CrossRef
An introduction to uncertainty in measurement using the GUM (guide to the expression of uncertainty in measurement),,2007,Chemometrics and Intelligent Laboratory Systems,10.1016/j.chemolab.2006.12.003,CrossRef
A modified ISO 13528 robust analysis (Algorithm A) that takes measurement uncertainty into account,Carlo Carobbi,2017,Measurement,10.1016/j.measurement.2017.07.006,CrossRef
Microbiology of the food chain - Estimation of measurement uncertainty for quantitative determinations,,,,10.3403/30351072,CrossRef
Power quality measurement in power supply systems,,,,10.3403/30327725,CrossRef
Minimum uncertainty slant angle for trihedral pyramid targets,John Dorsey-Palmateer,2019,Measurement,10.1016/j.measurement.2018.12.053,CrossRef
Geometrical product specifications (GPS). Inspection by measurement of workpieces and measuring equipment,,,,10.3403/30158866u,CrossRef
Geometrical product specifications (GPS). Inspection by measurement of workpieces and measuring equipment,,,,10.3403/30198171u,CrossRef
Measurement Uncertainty,,,Radiation Thermometry: Fundamentals and Applications in the Petrochemical Industry,10.1117/3.741687.ch5,CrossRef
Measurement Uncertainty,Han Haitjema,2018,Basics of Precision Engineering,10.1201/9781351204118-9,CrossRef
Expression of uncertainty in fuzzy scales based measurements,Eric Benoit,2013,Measurement,10.1016/j.measurement.2013.04.006,CrossRef
Measurement Process Qualification,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.3139/9783446429550.fm,CrossRef
Uncertainty of measurement in spectrometric analysis: A case study,"J. Dobilienė, E. Raudienė, R.P. Žilinskas",2010,Measurement,10.1016/j.measurement.2009.07.003,CrossRef
Uncertainty evaluation of shore hardness testers,"M.I. Mohamed, G.A. Aggag",2003,Measurement,10.1016/s0263-2241(02)00087-8,CrossRef
Limits to the uncertainty achievable in force transfer,M. Peters,1984,Measurement,10.1016/0263-2241(84)90053-8,CrossRef
Receiver Operating Characteristic Curves and Uncertainty of Measurement,,,Wolfram Demonstrations Project,10.3840/07001673,CrossRef
Measurement of fluid flow: assessment of uncertainty in the calibration and use of flow measurement devices,,,,10.3403/00200484,CrossRef
Uncertainty in Measurement,Carlo Ferri,2020,Intelligent System and Computing,10.5772/intechopen.89568,CrossRef
Power quality measurement in power supply systems,,,,10.3403/30256018,CrossRef
Measurement Process Qualification,"Edgar Dietrich, Alfred Schulze",2011,,10.3139/9783446429550,CrossRef
Measurement of Thermal Neutron Capture Gamma-Rays Using a Neutron Guide Tube,S. Sakamoto,1979,Neutron Capture Gamma-Ray Spectroscopy,10.1007/978-1-4613-2940-4_100,CrossRef
Measurement of the Branching Ratio {Gamma}(D*{sup +}{sub s} --&amp;gt; D{sup +}{sub s}{pi}{sup 0})/{Gamma}(D*{sup +}{sub s} --&amp;gt; D{sup +}{sub s}{gamma}),B Aubert,2004,,10.2172/829788,CrossRef
N2-broadening in the HCl vibrational fundamental: Temperature dependence between 160 and 296 K,"C. Chackerian, D. Goorvitch, L.P. Giver",1990,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(90)90041-4,CrossRef
"Pressure broadening in Raman spectra of CH4–N2, CH4–CO2, and CH4–C2H6 gas mixtures","Aleksandr S. Tanichev, Dmitry V. Petrov",2023,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2023.122396,CrossRef
"Brief overview of methods for measurement uncertainty analysis: GUM uncertainty framework, Monte Carlo method, characteristic function approach","V. Witkovsky, G. Wimmer, Z. Durisova, S. Duris, R. Palencar",2017,2017 11th International Conference on Measurement,10.23919/measurement.2017.7983530,CrossRef
The Measurement and Characteristics of Professional Forecasters' Uncertainty,"Gianna Boero, Jeremy Smith, Kenneth F. Wallis",2015,Journal of Applied Econometrics,10.1002/jae.2400,CrossRef
"MU, Measurement Uncertainty",,2013,Encyclopedia of Tribology,10.1007/978-0-387-92897-5_100925,CrossRef
Theoretical calculation of CH3Br/N2-broadening coefficients at various temperatures,"Z. Boussetta, H. Aroui, D. Jacquemart, L. Gomez, J.-P. Bouanich",2011,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2010.09.004,CrossRef
Chapter 12—Temperature Measurement Uncertainty,,1981,Manual on the Use of Thermocouples in Temperature Measurement,10.1520/stp27363s,CrossRef
"""GUIDE TO THE EXPRESSION OF UNCERTAINTY IN MEASUREMENT"" (GUM) AND ""MUTUAL RECOGNITION OF NATIONAL MEASUREMENT STANDARDS AND OF CALIBRATION AND MEASUREMENT CERTIFICATES ISSUED BY NATIONAL METROLOGY INSTITUTES"" (MRA): SOME PROBLEMS OF DATA PROCESSING AND MEASUREMENT UNCERTAINTY EVALUATION","A. CHUNOVKINA, A. CHURSIN",2001,Advanced Mathematical and Computational Tools in Metrology V,10.1142/9789812811684_0007,CrossRef
Assessment of uncertainty in calibration of a gas mass flowmeter,Daniela Kruh,2000,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_42,CrossRef
Improvement of model evaluation by incorporating prediction and measurement uncertainty,"Lei Chen, Shuang Li, Yucen Zhong, Zhenyao Shen",,,10.5194/hess-2017-66,CrossRef
Measurement Errors and Uncertainty of Measurement,"M. Schubnell, W. Wegscheider",2022,Validation in Thermal Analysis,10.3139/9781569909072.009,CrossRef
Evaluating measurement uncertainty in absolute gravimetry: An application of the Monte Carlo method,"Walter Bich, Giancarlo D'Agostino, Alessandro Germak, Francesca Pennecchi",2008,2008 IEEE Iinternational Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2008.4589937,CrossRef
"Chemical metrology, chemistry and the uncertainty of chemical measurements",John L. Love,2003,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_3,CrossRef
Collisional broadening of CO2 IR lines. I. Diode laser measurements for CO2–N2 mixtures in the 295–815 K temperature range,"L. Rosenmann, M. Y. Perrin, J. Taine",1988,The Journal of Chemical Physics,10.1063/1.453940,CrossRef
Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement (IEEE Cat. No. 05EX1022),,2005,Proceedings of the 2005 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2005.1594584,CrossRef
Systematic errors and measurement uncertainty: An experimental approach,"F. Attivissimo, A. Cataldo, L. Fabbiano, N. Giaquinto",2011,Measurement,10.1016/j.measurement.2011.07.011,CrossRef
Uncertainty evaluation of 2D vehicle position measurement by probability and theory of evidence approaches,"Marco Pertile, Mariolino De Cecco, Luca Baglivo",2008,2008 IEEE Iinternational Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2008.4589943,CrossRef
Comparing methods for evaluating measurement uncertainty given in the JCGM ‘Evaluation of Measurement Data’ documents,"L.T. Stant, P.H. Aaen, N.M. Ridler",2016,Measurement,10.1016/j.measurement.2016.08.015,CrossRef
Pressure broadening of the 2.5 THz H35Cl rotational line by N2 and O2,"K. Park, K.V. Chance, I.G. Nolt, J.V. Radostitz, M.D. Vanek, D.A. Jennings, K.M. Evenson",1991,Journal of Molecular Spectroscopy,10.1016/0022-2852(91)90075-l,CrossRef
Uncertainty Analyses of Tritium Production and Gamma Heating Rates in the Fns Clean Benchmark Experiments,"Bamidele Ebiwonjumi, Ethan Peterson",,,10.2139/ssrn.4949078,CrossRef
Measurement of the vibrational temperature of the ground state of N2 according to the emission of the N2 + molecular ion,"Yu. B. Golubovskii, V. M. Telezhko",1983,Journal of Applied Spectroscopy,10.1007/bf00658556,CrossRef
Evaluation of the uncertainty of measurement for a dynamic calibration approach for pressure sensors,Thomas Platte,2021,Measurement: Sensors,10.1016/j.measen.2021.100252,CrossRef
Evaluating uncertainty in analytical measurements: the pursuit of correctness,Rouvim L. Kadis,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_27,CrossRef
Measurement Broadening in Magnetic Resonance,"E. J. Putzer, O. E. Myers",1966,Journal of Applied Physics,10.1063/1.1707883,CrossRef
A fuzzy approach for the expression of uncertainty in measurement,"Gilles Mauris, Virginie Lasserre, Laurent Foulloy",2001,Measurement,10.1016/s0263-2241(00)00036-1,CrossRef
"The Rasch distribution: A discrete, general form of the Gauss distribution of uncertainty in scientific measurement",David Andrich,2021,Measurement,10.1016/j.measurement.2020.108672,CrossRef
Uncertainty factor: an alternative way to express measurement uncertainty in chemical measurement,"Michael H. Ramsey, Stephen L. R. Ellison",2015,Accreditation and Quality Assurance,10.1007/s00769-015-1115-6,CrossRef
Measurement uncertainty and its connection with true value in the GUM versus JCGM documents,Raghu N. Kacker,2018,Measurement,10.1016/j.measurement.2018.05.105,CrossRef
The uncertainty in a current meter measurement,R.W. Herschy,2002,Flow Measurement and Instrumentation,10.1016/s0955-5986(02)00047-x,CrossRef
Interlaboratory comparisons’ measurement uncertainty in the field of environmental noise,"Antonio Petošić, Ivan Djurek, Mia Suhanek, Sanja Grubeša",2019,Measurement,10.1016/j.measurement.2019.106932,CrossRef
A General Theory of Uncertainty,C F Dietrich,2017,"Uncertainty, Calibration and Probability",10.1201/9780203734759-7,CrossRef
Aspects regarding the uncertainty of energy measurement in the Low Voltage distribution network,"Ioana Izabela Odor, Dorin Flaminzeanu, Carmen Ionescu Golovanov",2009,2009 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2009.5207601,CrossRef
Optimised measurement uncertainty and decision-making when sampling by variables or by attribute,Leslie R. Pendrill,2006,Measurement,10.1016/j.measurement.2006.04.014,CrossRef
Gamma-ray induced pulsewidth broadening and powerloss in modelockedEr-doped fibre laser,"R.J. Bussjager, M.J. Hayduk, S.T. Johns, E.W. Taylor",2001,Electronics Letters,10.1049/el:20010904,CrossRef
Uncertainty evaluation of an on-machine chromatic confocal measurement system,"Long Ye, Jun Qian, Han Haitjema, Dominiek Reynaerts",2023,Measurement,10.1016/j.measurement.2023.112995,CrossRef
Measurement of gamma-ray intensity vs time: Operation Buster-Jangle,J. Malik,1952,,10.2172/1179280,CrossRef
Water jet velocity uncertainty in laser Doppler velocimetry measurements,Massimiliano Annoni,2012,Measurement,10.1016/j.measurement.2012.01.035,CrossRef
Measurement Uncertainty in Decision-Making,"Claudio De Capua, Rosario Morello, Rosario Carbone",2011,International Journal of Measurement Technologies and Instrumentation Engineering,10.4018/ijmtie.2011070104,CrossRef
THE MEASUREMENT OF HIGH INTENSITY GAMMA FLUXES WITH VAC ION GAUGES,Basil Markow,1963,,10.21236/ad0402356,CrossRef
Measurement of Inclusive Radiative B -Meson Decay B -&gt; X_s gamma,V.E. Ozcan,2006,,10.2172/877983,CrossRef
A measurement of R{sub b} = {Gamma}(Z{sup 0} {yields} b{anti b})/{Gamma}(Z{sup 0} {yields} hadrons) at SLD,H.A. Jr. Neal,1993,,10.2172/10141638,CrossRef
Gamma-ray scattering corrections for the airborne measurement of uranium,R L Grasty,1973,,10.4095/105101,CrossRef
Uncertainty in Flow Totals,Harvey T Dearden,2014,Measurement and Control,10.1177/0020294014534207,CrossRef
Combined Scintillation Detector for Gamma Dose Rate Measurement,,1990,Radiation Protection Dosimetry,10.1093/oxfordjournals.rpd.a080742,CrossRef
Educational aspects of uncertainty calculation with software tools,"Hubert Zangl, Klaus Hoermaier",2017,Measurement,10.1016/j.measurement.2015.11.005,CrossRef
Estimating uncertainty when using transient data in steady-state calculations,R.A. Buswell,2016,Measurement,10.1016/j.measurement.2016.07.084,CrossRef
Analytical results for uncertainty propagation through trained machine learning regression models,Andrew Thompson,2024,Measurement,10.1016/j.measurement.2024.114841,CrossRef
Calorimeter Measurement of the Kiwi-A Gamma Radiation,"Ellery Storm, Edwin Bemis",1960,,10.2172/12679694,CrossRef
Glossary,,2002,Series in Measurement Science and Technology,10.1201/9781420034363.bmatt,CrossRef
"Nacelle power curve measurement with spinner anemometer and
uncertainty evaluation","Giorgio Demurtas, Troels Friis Pedersen, Rozenn Wagner",,,10.5194/wes-2016-29,CrossRef
Two-Dimensional Linear Comparative Calibration and Measurement Uncertainty,"Gejza Wimmer, Viktor Witkovsky",2019,2019 12th International Conference on Measurement,10.23919/measurement47340.2019.8779887,CrossRef
Evaluating measurement uncertainty in electric current measurement in PQ determination,"Niculai Stanciu, Dorel Stanescu, Willibald Szabo",2013,Eurocon 2013,10.1109/eurocon.2013.6625077,CrossRef
Uncertainty in Volumetric Measurement,S. V. Gupta,2012,Measurement Uncertainties,10.1007/978-3-642-20989-5_10,CrossRef
The uncertainty of torque primary standards: a comprehensive analysis,S. Merlo,2001,Measurement,10.1016/s0263-2241(00)00049-x,CrossRef
Uncertainty,James E. Gallagher,2006,Natural Gas Measurement Handbook,10.1016/b978-1-933762-00-5.50020-7,CrossRef
Pressure and Shear Stress Measurement Uncertainty for DARPA SUBOFF experiment,Scott Gowing,1990,,10.21236/ada219109,CrossRef
Uncertainty in Mass Measurement,S. V. Gupta,2012,Measurement Uncertainties,10.1007/978-3-642-20989-5_9,CrossRef
CRYSTAL SPECTROMETERS FOR THE MEASUREMENT OF GAMMA RADIATION FROM NEUTRON CAPTURE.,O. Schult,1967,,10.2172/4448144,CrossRef
"Collisional broadening of spectral lines in the A-X (0-0) system of no by N2, Ar, and He at elevated pressures measured by laser-induced fluorescence",A Vyrodov,1995,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(94)00120-v,CrossRef
Dimensions of the ellipsoidal confidence region,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.026,CrossRef
2009 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,,2009,,10.1109/amuem15249.2009,CrossRef
Decision Making under Uncertainty: Broadening the Unit of Analysis in Entrepreneurship Research (WITHDRAWN),"David J. Rapp, Michael Olbrich",2019,Academy of Management Proceedings,10.5465/ambpp.2019.10086abstract,CrossRef
Measurement Broadening in Magnetic Resonance,"Orlo E. Myers, Eugene J. Putzer",1959,Journal of Applied Physics,10.1063/1.1735102,CrossRef
References,,2002,Series in Measurement Science and Technology,10.1201/9781420034363.bmatt1,CrossRef
Estimation of Uncertainty in Complex Biomeasurements,Anna Cysewska-Sobusiak,2007,2007 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2007.4362565,CrossRef
Gamma-ray emission spectrum from thermonuclear fusion reactions without intrinsic broadening,"M. Nocente, J. Källne, M. Salewski, M. Tardocchi, G. Gorini",2015,Nuclear Fusion,10.1088/0029-5515/55/12/123009,CrossRef
The Detection of Gamma Rays and the Measurement of Gamma-Ray Spectra,D.E. ALBURGER,1960,Pure and Applied Physics,10.1016/b978-1-4832-3063-4.50019-9,CrossRef
MEASUREMENT OF THE BRANCHING RATIO K/sub L/ $Yields$ $gamma$$gamma$/K/sub L/ $Yields$ 3$pi$--.,"M. Banner, J.W. Cronin, J.K. Liu, J.E. Pilcher",1968,,10.2172/4479380,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707-22,CrossRef
What uncertainty is not,Swanand Rishi,2024,A Practical Handbook on Measurement Uncertainty,10.1088/978-0-7503-6462-1ch4,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/isoastm51707-15,CrossRef
Foundational Issues in the Measurement of Belief and Uncertainty,Louis E. Narens,2012,,10.21236/ada577496,CrossRef
Differentiation between model error and measurement uncertainty in machine learning modeling for measurement processes,"Meike Huber, Tobias Müller, Robert H. Schmitt",2025,Measurement: Sensors,10.1016/j.measen.2024.101608,CrossRef
"OODR-LIF direct measurement of N2(C 3Πu, v=0–4) electronic quenching and vibrational relaxation rate coefficients by N2 collision","G. Dilecce, P.F. Ambrico, S. De Benedictis",2006,Chemical Physics Letters,10.1016/j.cplett.2006.09.094,CrossRef
A view of uncertainty at the bench analytical level,"Angel Ríos, Miguel Valcárcel",1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_28,CrossRef
Measurement uncertainty and metrological traceability,Walter Bich,2023,Metrological Infrastructure,10.1515/9783110715835-002,CrossRef
Measurement Uncertainty,Ted Vosk,2013,Encyclopedia of Forensic Sciences,10.1016/b978-0-12-382165-2.00324-x,CrossRef
A united interpretation of different uncertainty intervals,"R. Willink, I. Lira",2005,Measurement,10.1016/j.measurement.2005.01.001,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707,CrossRef
Total Measurement Uncertainty in Neutron Coincidence Multiplicity Analysis,"Robert Mcelroy, Jr.",2020,,10.2172/1767868,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707-95e01,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/isoastm51707-05,CrossRef
Foundational ideas in probability and statistics,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.005,CrossRef
Description and application of a new method for uncertainty evaluation in two-dimensional indirect measurement,"Marco Pertile, Mariolino De Cecco, Luca Baglivo",2009,2009 IEEE International Workshop on Advanced Methods for Uncertainty Estimation in Measurement,10.1109/amuem.2009.5207605,CrossRef
Application of uncertainty of measurement to conformity assessment activities in the electrotechnical sector,,,,10.3403/30436061u,CrossRef
Measurement uncertainty matters: ecological management using POMDPs,"Milad Memarzadeh, Carl Boettiger",,,10.1101/055319,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707-15,CrossRef
Water quality. Estimation of measurement uncertainty based on validation and quality control data,,,,10.3403/30174937,CrossRef
Derivation of the Feldman–Cousins interval,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.027,CrossRef
Preface,,2002,Series in Measurement Science and Technology,10.1201/9781420034363.fmatt,CrossRef
List of Symbols,,,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5_10,CrossRef
An assessment of objective Bayesian statistics,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.017,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/isoastm51707-02,CrossRef
Typical Questions about Measurement Process Capability,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_12,CrossRef
Measurement uncertainty limit analysis with the Cramér-Rao bound in case of biased estimators,"Andreas Fischer, Jürgen Czarske",2014,Measurement,10.1016/j.measurement.2014.04.010,CrossRef
Use of Measurement Uncertainty in Compliance Assessment in  Custody Transfer Operations,Oliveira EC,2021,Petroleum &amp; Petrochemical Engineering Journal,10.23880/ppej-16000278,CrossRef
target measurement uncertainty,,2025,The IUPAC Compendium of Chemical Terminology,10.1351/goldbook.08133,CrossRef
Capability Study of Attribute Measurement Processes,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_6,CrossRef
Design and uncertainty analysis of non-contact measurement system based on conoscopic holography,"Shuyan Ren, Yonggang Yang, Hailong Duan, Jing Li",2010,JOURNAL OF ELECTRONIC MEASUREMENT AND INSTRUMENT,10.3724/sp.j.1187.2010.00616,CrossRef
"Self-, N2- and O2-broadening coefficients for the 12C16O2 transitions near-IR measured by a diode laser photoacoustic spectrometer","J.S. Li, K. Liu, W.J. Zhang, W.D. Chen, X.M. Gao",2008,Journal of Molecular Spectroscopy,10.1016/j.jms.2008.03.018,CrossRef
Metrology for fluxes: eddy covariance measurement uncertainty,"Nicola Arriga, Alberto Bottacin",,,10.5194/egusphere-egu25-17589,CrossRef
Uncertainty of In-Flight Thrust Determination,,,,10.4271/air1678,CrossRef
Analytical procedure in terms of measurement (quality) assurance,Rouvim Kadis,2002,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_1,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707-05,CrossRef
Mechanical vibration � Uncertainty of the measurement and evaluation of human exposure to vibration,,,,10.3403/30410827,CrossRef
Uncertainty in Acoustics,Robert Peters,2020,,10.1201/9780429470622,CrossRef
Water quality. Estimation of measurement uncertainty based on validation and quality control data,,,,10.3403/30174937u,CrossRef
The weak law of large numbers,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.020,CrossRef
Session YA3: Uncertainty,,2005,2005 IEEE Instrumentationand Measurement Technology Conference Proceedings,10.1109/imtc.2005.1604546,CrossRef
How to Handle Incapable Measurement Processes,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_11,CrossRef
Body temperature measurement uncertainty arising from ear canal geometry and temperature gradients,"Pablo Castro Alonso, Graham Machin",2022,Measurement: Sensors,10.1016/j.measen.2022.100417,CrossRef
Uncertainty of In-Flight Thrust Determination,,,,10.4271/air1678a,CrossRef
Measurement uncertainty in the hydronic system in the IBAL,Amanda J Pertzborn,2017,,10.6028/nist.tn.1970,CrossRef
uncertainty of measurement,,2014,The IUPAC Compendium of Chemical Terminology,10.1351/goldbook.u06553,CrossRef
Measurement uncertainty,Jens Holger Rindel,2017,Sound Insulation in Buildings,10.1201/9781351228206-14,CrossRef
Mechanical vibration � Uncertainty of the measurement and evaluation of human exposure to vibration,,,,10.3403/30410827u,CrossRef
Uncertainty of In-Flight Thrust Determination,,,,10.4271/air1678b,CrossRef
Waste receiving and processing drum weight measurement uncertainty review findings,M.P. LANE,1999,,10.2172/782308,CrossRef
Figure 1: Illustration of the method for accounting for the uncertainty of measurement.,,,,10.7717/peerj-cs.1373/fig-1,CrossRef
"Corrigendum to “N2, O2, and air broadening of NH3 in ν2 band measured by FTIR spectroscopy” [J. Mol. Spectrosc. 173 (1995) 591–602]","Mike Fabian, Fumiyuki Ito, Koichi M.T. Yamada",2006,Journal of Molecular Spectroscopy,10.1016/j.jms.2005.12.015,CrossRef
N2-broadening coefficients of methyl chloride: Measurements at room temperature and calculations at atmospheric temperatures,"A. Barbouchi Ramchani, D. Jacquemart, M. Dhib, H. Aroui",2014,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2014.07.008,CrossRef
Laser-Induced Optical Breakdown in Methane: Diagnostic Using H-Gamma Line Broadening,"Christian G. Parigger, Eugene Oks",2010,International Journal of Spectroscopy,10.1155/2010/936385,CrossRef
Random-Fuzzy Variables,,,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5_4,CrossRef
Magnetic moment effect on pressure broadening: Lines from the and states of the (1-0) band of NO colliding with N2 and Ar,"A Henry, F Severin, L Henry",1979,Journal of Molecular Spectroscopy,10.1016/0022-2852(79)90094-8,CrossRef
"Studies of 183GHz water line: broadening and shifting by air, N2 and O2 and integral intensity measurements","M.Yu Tretyakov, V.V Parshin, M.A Koshelev, V.N Shanin, S.E Myasnikova, A.F Krupnov",2003,Journal of Molecular Spectroscopy,10.1016/s0022-2852(02)00084-x,CrossRef
Influencing Factors on the Measurement Process,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_4,CrossRef
Uncertainty and Measurement,P.T. Landsberg,2017,Quantum Theory without Reduction,10.1201/9780203741467-11,CrossRef
Prediction of the experimental gamma ray peak broadening induced by gain wander in a gain stabilized system,"D. O'Connor, G. Knol, R. Ziff",,IEEE Conference on Nuclear Science Symposium and Medical Imaging,10.1109/nssmic.1992.301176,CrossRef
Rapid and robust radioisotopes identification algorithms of X-Ray and gamma spectra,Mohamed S. El_Tokhy,2021,Measurement,10.1016/j.measurement.2020.108456,CrossRef
American National Standard Guide for Electromagnetic CompatibilityComputations and Treatment of Measurement Uncertainty,,,,10.1109/ieeestd.2013.6482151,CrossRef
MEASUREMENT UNCERTAINTY,,2005,Laboratory Auditing for Quality and Regulatory Compliance,10.1201/b14268-32,CrossRef
Guide for Estimation of Measurement Uncertainty in Dosimetry for Radiation Processing,,,,10.1520/e1707-22e01,CrossRef
How to Use Calibration Errors to Determine Measurement Uncertainty,James L. Taylor,2012,,10.21236/ada566359,CrossRef
Application of uncertainty of measurement to conformity assessment activities in the electrotechnical sector,,,,10.3403/30436061,CrossRef
Status of the Measurement of Proton Scattering on Carbon Nuclei in EMPHATIC for Neutrino Flux Uncertainty Reduction,Robert Chirco,2024,Status of the Measurement of Proton Scattering on Carbon Nuclei in EMPHATIC for Neutrino Flux Uncertainty Reduction,10.2172/2376214,CrossRef
"Line Intensity, N2-Broadening and Pressure Shift Measurements in the ν3-band of 12CH4 using a cw-OPO","Mohammad Jahjah, Marco Polo Moreno de Souza, Linh Nguyen, Malo Cadoret, Flavio C. Cruz, Jean-Jacques Zondy",2014,Latin America Optics and Photonics Conference,10.1364/laop.2014.lf2a.6,CrossRef
Simulated measurement-uncertainty determination for mass-standard calibration via transfer artefacts,"Frank Härtig, Katharina Lehrmann, Rainer Tutsch",2021,Measurement: Sensors,10.1016/j.measen.2021.100090,CrossRef
"Evaluating, Expressing, and Propagating Measurement Uncertainty for NIST Reference Materials",Antonio Possolo,2020,,10.6028/nist.sp.260-202,CrossRef
El MUNDO: Embedding Measurement Uncertainty in Decision Making and Optimization,"Carmen Gervet, Sylvie Galichet",2015,"European Project Space on Intelligent Systems, Pattern Recognition and Biomedical Systems",10.5220/0006162500700089,CrossRef
